F4  AME,Spanish Air Force (AME)
F4  GAF,German Airforce (GAF)
F4  HAF,Hellenic Airforce VA (HAF)
F4  HAF2,Hellenic Air Force (339sq) (HAF)
F4  HVK,Turkish AF (HVK)
F5,United States Navy
F5  @TA,Tunisian Air Force
F5  @TA2,Tunisian Air Force (twin seat)
F5  AME,Spanish Air Force (AME)
F5  BRS,Brazilian Air Force (BRS)
F5  BRSCAM,Brazilian Air Force (camouflage) (BRS)
F5  FAV,Venezuela Air Force (FAV)
F5  HVKTS,Turkish Stars (single seat)
F5  HVKTS2,Turkish Stars (twin seat)
F5  SUI,Swiss Air Force (SUI)
F5  SUIPS,Swiss Air Force (Patrouille Suisse) (SUI)
F50,Fokker F50 Demonstrator
F50 AVA,Avianca Airlines (AVA)
F50 BCY,Cityjet (BCY)
F50 BTI,Air Baltic (BTI)
F50 CRF,AirCentral (CRF)
F50 FXI,Flugfelag Islands (Iceland Air) (FXI)
F50 INC,Insel Air International (INC)
F50 KLC,KLM City Hopper (KLC)
F50 KZR,Air Astana (KZR)
F50 MAS,Malaysia Airlines (MAS)
F50 NAF,Royal Netherlands Air Force (NAF)
F50 SKX,Skyways Express (SKX)
F50 SYA,Sky Aviation (SYA)
F50 VLM,VLM Airlines (VLM)
F50 VLMOLD,VLM Airlines (old colors) (VLM)
F70 AUA,Austrian Airlines (AUA)
F70 BXS,SPANTAX LAV (BXS)
F70 HVN,Vietnam Airlines (HVN)
F70 HVN2,Vietnam Airlines (blue) (VN-A502) (HVN)
F70 KLC,KLM City Hopper (KLC)
F70 KLM,Netherlands Government (PH-KBX)
F70 KLM2,KLM Royal Dutch Airlines (KLM)
F70 KRP,Carpatair (KRP)
F70 MAH,Malev Hungarian Airlines (MAH)
F70 NLU,Insel Air International (INC)
F70 PBL,Parablinda VA (PBL)
F70 PWV,Pannonwings VA (PWV)
F70 RAE,Air France Regional (RAE)
F70 TYR,Tyrolean Airways (TYR)
F70 VBV,V-Bird VA (VBV)
F86,US Air Force F-86A Sabre
F900,Privately Owned (M-AFAJ)
F900AME,Spainish Air Force (AME)
F900BAF,Belgian Air Component (BAF)
F900CTM,French Air Force (COTAM) (CTM)
F900IAM,Italian Air Force (IAM)
F900NJE,NetJets Europe (NJE)
F900SUI,Swiss Air Force (SUI)
F900VIP,Tag Aviation UK (VIP)
F900WTG,Wild Tigers SOG VA (WTG)
F900ZZZ,Privately Owned (C-GTLA) (winglets)
F900ZZZ2,Privately Owned (N10HZ)
F900ZZZ3,Privately Owned (N404F)
F900ZZZ4,Privately Owned (F-GMOH)
F900ZZZ5,Privately Owned (VP-CLO)
F900ZZZ6,Privately Owned (N63JP) (Winglets)
F900ZZZ7,Privately Owned (OE-IOE)
FA10,Privately Owned (N333FJ)
FA10FNY,French Navy (FNY)
FA10ZZZ,Privately Owned (VP-BBV)
FOUG,Privately Owned (F-AZZP)
G109,General Aviation (G-ROBZ)
G109RFR,Royal Air Force (Air Cadets) (RFR)
G109ZZZ,General Aviation (G-BMLK)
G109ZZZ2,General Aviation (G-UILD)
G115,Royal Air Force (RFR)
G115RFR,Royal Air Force (Display) (RFR)
G21,United Stated Navy
G21 ZZZ,Avalon Air Transport
G2GL@YA,Yugoslav Air Force (Default aircraft) (@YA)
GAZL,Default
GAZL@SB,Serbian Air Force
GLEX,Comlux Malta (MLM)
GLEXCFM,ACEF - Transportes Aereos e Carga (CFM)
GLEXCLA,Comlux Aviation (CLA)
GLEXDCS,Daimler Chrysler (DCS)
GLEXFPG,TAG Aviation Swiss (FPG)
GLEXGBT,A-Jet Aviation Aircraft Management (GBT)
GLEXGES,Gestair (GES)
GLEXGMA,Gama Aviation (GMA)
GLEXIWD,Iberworld (IWD)
GLEXJAG,Jet Alliance (JAG)
GLEXOCS,Ocean Sky (OCS)
GLEXPJS,Jet Aviation Business Jets (PJS)
GLEXQTR,Qatar Airways (QTR)
GLEXSVW,Global Jet Luxembourg (LX-AAA) (SVW)
GLEXSVW2,Global Jet Luxembourg (LX-GEX) (SVW)
GLEXTAG,TAG Aviation USA (TAG)
GLEXTGM,TAG Aviation Espana (TGM)
GLEXVIP,Tag Aviation UK (G-SHEF) (VIP)
GLEXVIP2,Tag Aviation UK (G-IRAP) (VIP)
GLEXVJS,VistaJet (VJS)
GLEXVMP,Execujet Scandinavia (VMP)
GLEXZZZ,Aviation Jolina S.E.C.
GLEXZZZ2,Paramount Pictures Corp.
GLEXZZZ3,Zeptair AG (OE-LPZ)
GLF2,Default Gulfstream G-II-TT (tip tanks)
GLF2SVA,Saudi Arabian Airlines (SVA)
GLF2ZZZ,Default Gulfstream G-II
GLF2ZZZ2,Default Gulfstream G-IIB (winglets)
GLF2ZZZ3,Private Senegal Gulfstream G-II
GLF3,Gulfstream G-III
GLF3@UL,United States Air Force (C-20B)
GLF3@UL2,United States Air Force (white) (C-20C)
GLF4,Default
GLF4@UN,United States Navy (C-20G)
GLF4@UN2,United States Navy (C-20G)
GLF4CBJ,Deer Jet Airlines (CBJ)
GLF4DCS,Daimler Chrysler Aviation VA (DCS)
GLF4EDG,Jet Edge (EDG)
GLF4LUC,Albinati Aeronautics (LUC)
GLF4NAF,Royal Netherlands Air Force (NAF)
GLF4ROJ,Royal Jet (ROJ)
GLF4SVA,Saudi Arabian Airlines (SVA)
GLF4ZZZ,Trans Meridian Aviaition
GLF4ZZZ2,Privately Owned (N236MJ)
GLF4ZZZ3,Privately Owned (N721FF)
GLF5,Gulfstream Demonstrator G500
GLF5CBJ,Deer Jet Airlines (CBJ)
GLF5DCS,Daimler Chrysler (DCS)
GLF5EXU,Executive Airlines (EXU)
GLF5GMA,Gama Aviation (GMA)
GLF5HAF,Hellenic Air Force (HAF)
GLF5IAF,Israeli Air Force (IAF)
GLF5KAC,State of Kuwait (KAC)
GLF5OCS,Ocean Sky (OCS)
GLF5THY,Turkish Airlines (THY)
GLF5ZZZ,Privately Owned (N550PM)
GLF5ZZZ2,Privately Owned (N607CV)
GLF5ZZZ3,Privately Owned (RA-10202)
GLF5ZZZ4,Privately Owned (VT-TMS)
GLID   A13,ASK 13
GLID   A25,ASH 25
GLID   KA6,Schleicher KA-6
GLID   KA8,Schleicher KA-8
GLIDOK3823,Blanik L-13 (OK3823)
GLIDOK8827,Blanik L-13 (OK8827)
GLIDOK8829,Blanik L-13 (OK8829)
GLID   SH,Schempp-Hirth Duo Discus
H25B,Default
H25BRRR,RAF-HQSTC (RRR)
H25C,Default
H25CZZZ,British Aerospace Corp.
H47,Royal Air Force (RFR)
H47 @LY,Libyan Air Force
H47 @LYCAM,Libyan Air Force (camouflage)
H47 @UA,United States Army
H47 AME,Spanish Air Force (AME)
H47 EGY,Egyptian Air Force (EGY)
H47 HAA,Hellenic Army VA (HAA)
H47 IAM,Italian Air Force (IAM)
H47 NAF,Royal Netherlands Air Force (NAF)
H47 NAF2,Royal Netherlands Air Force (D-102) (NAF)
H60,Default (US Army)
H60 @FC,Fuerza Aerea Colombiana (@FC)
H60 @UG,United States Coast Guard (@UG)
H60 @UN,United States Navy (@UN)
H60 EXB,Brazilian Army Aviation (EXB)
H60 USF,US Air Force (USF)
H64,Default
H64 HAA,Hellenic Army VA (HAA)
H64 NAF,Royal Netherlands Air Force (NAF)
HAR AME,Spanish Air Force (AME)
HAWK,BAE Hawk 100 Demonstrator (ZJ100)
HAWK@ID,Indonesian Air Force (Mk.53)
HAWK@ID2,Indonesian Air Force (Mk.109)
HAWK@ID3,Indonesian Air Force (Mk.209 green-brown)
HAWK@ID4,Indonesian Air Force (Mk.209 grey)
HAWK@RB,Royal Bahraini Air Force
HAWK@UN,United States Navy (Tigers)
HAWK@UN2,United States Navy (NAS Kingsville)
HAWKASY,Royal Australian Air Force (76th sqn) (ASY)
HAWKASY2,Royal Australian Air Force (79th sqn) (ASY)
HAWKASY3,Royal Australian Air Force (79th - 90yr) (ASY)
HAWKCFC,Canadian Forces (CFC)
HAWKFNF,Finnish Air Force (FNF)
HAWKIFC,Indian Air Force (IFC)
HAWKLMG,South African Air Force (LMG)
HAWKNVY,Royal Navy (NVY)
HAWKNVY2,Royal Navy (100yr tail) (NVY)
HAWKRFR,Royal Air Force (208 SQN) (RFR)
HAWKRFR2,Royal Air Force (ETPS) (RFR)
HAWKRFR3,Royal Air Force (100 SQN Special) (RFR)
HAWKRFR4,Royal Air Force (4 SQN) (RFR)
HAWKRFR5,Royal Air Force (100 SQN) (RFR)
HAWKRFR6,Royal Air Force (Aviation Medicine) (RFR)
HAWKRFR7,Royal Air Force (ASTRA) (RFR)
HAWKRFRBA1,BAE Hawk 128 Demonstrator (ZK010)
HAWKRFRBA2,BAE Hawk 120 Demonstrator (ZJ951)
HAWKRFRDEM,Royal Air Force (Red Arrows) (RFR)
HAWKRFRDM2,Royal Air Force ( Red Arrows 50) (RFR)
HAWKRMF,Royal Malaysian Air Force (Mk. 108) (RMF)
HAWKRMF2,Royal Malaysian Air Force (Mk. 208) (RMF)
HAWKRSF,Royal Saudi Air Force (RSF)
HAWKRSFDEM,Royal Saudi Air Force (Saudi Hawks) (RSF)
HAWKUAF,United Emirates Air Force (Mk. 63) (UAF)
HAWKUAF2,United Emirates Air Force (Mk. 102) (UAF)
HUCO,Default
HUNT,Default (Royal Air Force - RFR)
HURI,Hawker Hurricane (LF363)
HURI@YA,Yugoslav Air Force (LF468)
HURI@YA2,Yugoslav Air Force (9539)
HURIZZZ,Hawker Hurricane (Z5140)
HURIZZZ2,Hawker Hurricane (PZ865)
IL14AFL,Aeroflot (AFL)
IL14CSA,CSA Lines (CSA)
IL14JAT,Jat Airways (JAT)
IL14LOT,LOT Polish Airlines (LOT)
IL14MAH,Malev Hungarian Airlines (MAH)
IL14ROT,Tarom Romanian Air Transport (ROT)
IL18,Aerocaribbean (CRN)
IL18@YA,Yugoslav Air Force
IL18CRNCRG,Aerocaribbean (cargo) (CRN)
IL62AFL,Aeroflot (AFL)
IL62CUB,Cubana de Aviacion (CUB)
IL62RSD,Special Detachment - Russia (RSD)
IL62SUM,MCHS Rossii (SUM)
IL62UKN,Ukraine Air Enterprise (UKN)
IL76,Russian Federation Air Force (RFF)
IL76@AA,Algerian Air Force
IL76@UF,Ukraine Air Force
IL76AFL,Aeroflot (Polar) (AFL)
IL76CUB,Cubana (CUB)
IL76DRU,Alrosa Aircompany (DRU)
IL76KOR,Air Koryo (KOR)
IL76KSM,Kosmos (KSM)
IL76RFF2,Russian Federation Air Force (A-50) (RFF)
IL76RFF3,Russian Federation Air Force (Black 33) (RFF)
IL76RFF4,Russian Federation Air Force (medical) (RFF)
IL76SUM,MCHS Rossii (SUM)
IL76SYC,Syrian-Cargo-Express VA (SYC)
IL76UNO,United Nations Organization (UNO)
IL76VDA,Volga-dnepr (VDA)
IL86AFL,Aeroflot (AFL)
IL86KJC,Krasnojarsky Airlines (KJC)
IL96,Aeroflot (AFL)
IL96CUB,Cubana de Aviacion (CUB)
IL96RSD,Russia Special Detachment (RSD)
J3,Piper J-3 Cub (OE-CUB)
J3  ZZZ,Piper J-3 Cub (D-EFKB)
J3  ZZZ2,Piper J-3 Cub (OK-UXE)
J328,White Livery
J328DCS,Daimler Chrysler VA (DCS)
J328WLC,Welcome Air (WLC)
JS1,Default
JS1 ANQ,Aerolinea de Antioquia (ANQ)
JS1 CBC,Caribair (CBC)
JS1 HSV,Svenska Direktflyg (HSV)
JS1 LNK,Airlink (LNK)
JS1 PWD,PAWA Dominicana (PWD)
JS32,Aerolinea de Antiqua (ANQ)
JS41@HK,Hong Kong Government Flying Services
JS41AAL,American Connection (AAL)
JS41ARP,Aeroplano Virtual VA (ARP)
JS41AUZ,Australian Virtual Airlines VA (AUZ)
JS41AWE,US Airways (AWE)
JS41COJ,Coljet VA (COJ)
JS41CST,ColStar VA (CST)
JS41ESY,EasyFly (ESY)
JS41EZE,Eastern Airways (EZE)
JS41EZE2,Eastern Airways (North East England) (EZE)
JS41LNK,South African Airlink (LNK)
JS41PFZ,Proflight Air Services (PFZ)
JS41PVC,Pivivo Air VA (PVC)
JS41VNE,Venezolana (VNE)
JU52,Privately Owned (D-CDLH)
JU52JUR,Ju-Air (HB-HOT) (JUR)
JU52JUR2,Ju-Air (HB-HOP) (JUR)
JU52JUR3,Ju-Air (HB-HOS) (JUR)
JU52ZZZ,Privately Owned (F-AZJU)
K35RRCH,USAF Military Airlift Command (RCH)
K35RRCH2,USAF Military Airlift Command (100 ARW) (RCH)
L101,Default
L101ACE,Air Charter Express (ACE)
L101AMT,ATA Airlines (AMT)
L101BCC,British Caledonian (BCC)
L101DAL,Delta Airlines (DAL)
L101EAL,Eastern Airlines (EAL)
L101KHACRG,Kitty Hawk (cargo) (KHA)
L101LTU,LTU International Airways (LTU)
L101LXR,Air Luxor (LXR)
L101PAA,Pan American Airways (PAA)
L101RRR,RAF-HQSTC (RRR)
L101SUD,Sudan Airways (SUD)
L101TAP,TAP Air Portugal (TAP)
L101TWA,Trans World Airlines (TWA)
L101ZZZWHI,Orbital Sciences (white) (ZZZ)
L159CEF,Czech Air Force (CEF)
L188AAL,American Airlines (AAL)
L188ANA,All Nipon Airlines (ANA)
L188BFL,Buffalo Airways (C-GLBA) (BFL)
L188BFL2,Buffalo Airways (C-FBAQ) (BFL)
L188CPA,Cathay Pacific Airlines (CPA)
L188KLM,KLM Royal Dutch Airlines (KLM)
L188QFA,Qantas (QFA)
L188TAA,Trans Australian (TAA)
L188VRG,Varig Brazil (VRG)
L200,Default
L29,Czech Air Force (tiger paint) (CEF)
L29 CEF,Czech Air Force (3247) (CEF)
L29B,General Aviation (N95BD)
L29B@NA,NASA
L29B@UL,US Air Force (C-140)
L29BTWA,Trans World Airlines (TWA)
L39 CEF,Czech Air Force (CEF)
L39 CEFZA,Czech Air Force (ZA) (CEF)
L39 HUF,Hungarian Air Force (HUF)
L39 SQF,Slovak Air Force (SQF)
L39 SQFZA,Slovak Air Force (ZA) (SQF)
L410AFL,Aeroflot (AFL)
L410AFLCHN,Aeroflot Red (China) (AFL)
L410BCV,Business Aviation Center (BCV)
L410BHA,Bohemia Airlines VA (BHA)
L410BPS,Citywing  (BPS)
L410CEF,Czech Air Force (CEF)
L410CEF2,Czech Air Force (Camouflage) (CEF)
L410CVE,Cabo Verde Express (D4-CBL) (CVE)
L410CVE2,Cabo Verde Express (D4-JCA) (CVE)
L410GAF,German Air Force (GAF)
L410NSE,Satena (NSE)
L410PWV,Pannonwings VA (PWV)
L410SDO,Aerolineas Santo Domingo (SDO)
L410SQF,Slovak Air Force (SQF)
L410SQF2,Slovak Air Force (camouflage) (SQF)
L410SRC,SEARCA (SRC)
L410TAC,Transporte Aereo de Colombia (TAC)
L410TDR,Trade Air (TDR)
L410UTX,UTAir Express (UTX)
L410ZZZ,General Aviation (Venezuela)
L60,General Aviation (OK-MTF)
L60 ZZZ,General Aviation (OK-MJO)
L60 ZZZ2,General Aviation (OK-NNH)
LANC,AVRO Lancaster (PA474)
LJ23,Default
LJ24,Default
LJ24ZZZ,Privately Owned (XB-GHO)
LJ25,Default
LJ31,Default
LJ35,Default
LJ35@UL,United States Air Force (C-21A)
LJ35FAM,Mexican Air Force (FAM)
LJ35FNF,Finnish Air Force (FNF)
LJ45,LearJet 45
M202LAN,Lan Chile (LAN)
M20T,Mooney M20M
M404TWA,Trans World Airlines (TWA)
MD11ABB,Air Bilbao (ABB)
MD11AFF,Aeroflot Nord (AFF)
MD11AGA,Air Germany VA (Cargo) (AGA)
MD11AKE,AKE Airlines VA (AKE)
MD11AMZCRG,Amazon Group VA (cargo) (AMZ)
MD11ARC,Arcade Air Provence VA (ARC)
MD11AYC,Aviaco (AYC)
MD11AZA,Alitalia (AZA)
MD11AZACRG,Alitalia (Cargo) (AZA)
MD11BFP,BalkanFly VA (BFP)
MD11BXS,SPANTAX LAV (BXS)
MD11CAL,China Airlines (CAL)
MD11CEL,Caeli VA (CEL)
MD11CES,China Eastern (CES)
MD11CNSCRG,Conesul VA (Cargo) (CNS)
MD11COL,Colonia Air VA (COL)
MD11CRGCRG,CargoItalia (cargo) (CRG)
MD11CTB,CityBird (Green Livery) (CTB)
MD11CTB2,CityBird (White Livery) (CTB)
MD11CWC,Centurion Air Cargo (CWC)
MD11CYB,Cyber Air VA (CYB)
MD11DAL,Delta Air Lines (DAL)
MD11DFL,DutchFly VA (DFL)
MD11DFY,Dreamfly Airways VA (DFY)
MD11DSY,Dream Sky VA (DSY)
MD11DSYCRG,Dream Sky Airlines VA (cargo) (DSY)
MD11EAS,European Airwings (EAS)
MD11ESH,European Air Shuttle VA (ESH)
MD11ETHCRG,Ethiopian Airlines (cargo) (ETH)
MD11EUC,EuropeSky VA Aircargo (EUC)
MD11EVA,Eva Airways Corporation (EVA)
MD11FDX,Federal Express (FDX)
MD11FFV,FFM Virtual (pax+cargo) (FFV)
MD11FIN,Finnair (FIN)
MD11FINCRG,Finnair (cargo) (FIN)
MD11FRR,Fresh Air (FRR)
MD11FUN,FunFlyers VA (FUN)
MD11FVI,Flyitalia VA (FVI)
MD11FWSCRG,FlyAntilles Airways VA (cargo) (FWS)
MD11GALCRG,German Airlines VA (Cargo) (GAL)
MD11GEC,Lufthansa Cargo (GEC)
MD11GFV,German Flights VA (GFV)
MD11GIA,Garuda Indonesia (GIA)
MD11GLL,German-Lloyd VA (GLL)
MD11GRE,Great Airways VA (GRE)
MD11GRW,Greece Airways VA (GRW)
MD11GWG,German Airwings VA (Cargo) (GWG)
MD11HES,Hesperia Airlines VA (HES)
MD11HISCRG,Hispania Airways VA (cargo) (HIS)
MD11IVV,Italiani Volanti VA (IVV)
MD11JAL,Japan Airlines (JAL)
MD11JGOCRG,Jet's Go VA (cargo) (JGO)
MD11KFY,Kafly VA (KFY)
MD11KLM,KLM Royal Dutch Airlines (KLM)
MD11KVL,CARAVAiles (KVL)
MD11KZNCRG,Air Nomad (cargo) (KZN)
MD11LCZCRG,Czechliner VA (Cargo) (LCZ)
MD11LGX,Ligurian Air VA (LGX)
MD11LTU,LTU International Airways (LTU)
MD11MAV,Matsakoni VA (MAV)
MD11MPH,Martinair (Cargo) (MPH)
MD11MPH2,Martinair (Rose Livery) (MPH)
MD11NGB,Nordic Global Airlines (NGB)
MD11OSE,Aeroservice VA (OSE)
MD11PAA,Pan American VA (PAA)
MD11PBL,Parablinda VA (PBL)
MD11PNW,Palestinian Airlines (PNW)
MD11RCF,Aeroflot-Cargo (RCF)
MD11SAB,Sabena (SAB)
MD11SMJ,AV Cargo Airlines (SMJ)
MD11SUN,Sunland Holdings VA (SUN)
MD11SVA,Saudi Arabian Airlines (SVA)
MD11SVACRG,Saudi Arabian Airlines (cargo) (SVA)
MD11SWI,Sunwings Express VA (SWI)
MD11SWR,Swiss (SWR)
MD11TAF,Tropic Air VA (TAF)
MD11TAM,TAM Linhas Aereas (TAM)
MD11TEF,Terra Fly VA (TEF)
MD11THA,Thai Airways (THA)
MD11TRI,Trinacria Air VA (TRI)
MD11TSE,Transmile Air Services (TSE)
MD11ULA,Zuliana de Aviación (ULA)
MD11UPS,United Parcel Service (UPS)
MD11USW,US Airwings VA (USW)
MD11VAR,Virtualiroma VA (VAR)
MD11VBD,Va Bird VA (VBD)
MD11VBDCRG,Va Bird VA (cargo) (VBD)
MD11VBVCRG,V-Bird VA (cargo) (VBV)
MD11VEP,Vesper Linhas Aereas VA (VEP)
MD11VIP,Virtual Pilots Association (VIP)
MD11VRG,Varig Brazil (VRG)
MD11VSP,VASP Viacao Aereas (VSP)
MD11VSW,Virtual Skyways VA (cargo) (VSW)
MD11WCT,27th Squadron (WCT)
MD11WFX,Westfalia Express VA (WFX)
MD11WFXCRG,Westfalia Express VA (cargo) (WFX)
MD11WOA,World Airways (WOA)
MD11WOACRG,World Airways Cargo (WOA)
MD80AAL,American Airlines (AAL)
MD80AAY,Allegiant Air (AAY)
MD80ABB,Air Bilbao (ABB)
MD80ABN,Albatros VA (ABN)
MD80ABX,Air Brixia VA (ABX)
MD80AEF,Aero Lloyd (AEF)
MD80AIT,Air Italia VA (AIT)
MD80ALA,AeroClub L'Aquila Virtual (ALA)
MD80ALM,ALM Antillean Airlines (ALM)
MD80ALV,Aeropostal Alas de Venezuela (ALV)
MD80AMV,AMC Airlines (AMV)
MD80AMX,AeroMéxico (AMX)
MD80AMX2,Aeromexico (Aeromexico Travel) (AMX)
MD80ANY,Anyway VA (ANY)
MD80ATE,Aeroméxico Travel (ATE)
MD80ATI,ATI Aero Trasporti Italiani (ATI)
MD80AUA,Austrian Airlines (AUA)
MD80AUT,Austral Lineas Aereas (AUT)
MD80AVA,Avianca Airlines (AVA)
MD80AXX,Avioimpex (AXX)
MD80AYC,Aviaco (AYC)
MD80AZA,Alitalia (AZA)
MD80BBR,Santa Barbara Airlines (BBR)
MD80BLE,Blue Line (BLE)
MD80BOG,Breogan Airways VA (BOG)
MD80BUC,Bulgarian Air Charter (BUC)
MD80CAW,Kulula (Comair Commercial Airlines) (CAW)
MD80CES,China Eastern (CES)
MD80COA,Continental Airlines (COA)
MD80COR,Transportes Aereos de Cordoba VA (COR)
MD80CSN,China Southern Airiiners (CSN)
MD80CTN,Croatia Airlines (CTN)
MD80DAL,Delta Airlines (DAL)
MD80DBK,Dubrovnik Airlines (DBK)
MD80DFY,Dreamfly Airways VA (DFY)
MD80EEZ,Eurofly (EEZ)
MD80FEA,Far Eastern Air Transport (FEA)
MD80FTT,FTS Network (FTT)
MD80FVI,Flyitalia VA (FVI)
MD80HES,Hesperia Airlines (HES)
MD80HLQ,Harlequin Air (HLQ)
MD80IBF,IBerFlight VA (IBF)
MD80INC,Insel Air International (P4-MDG) (INC)
MD80ISS,Meridiana (ISS)
MD80IVV,Italiani Volanti VA (IVV)
MD80JAL,Japan Airlines (JAL)
MD80JET,WindJet (JET)
MD80JKK,Spainair (JKK)
MD80KVL,CARAVAiles (KVL)
MD80LBT,Nouvelair Tunisie (LBT)
MD80LER,LASER Airlines (LER)
MD80LGX,Ligurian Air VA (LGX)
MD80MDW,Midway Airlines (MDW)
MD80MED,Mediterranea Virtual Airlines (MED)
MD80MHL,Millenium Air VA (MHL)
MD80NLU,Insel Air International (Aruba) (INC)
MD80NRD,Nordic Regional (NRD)
MD80OCA,Aserca Airlines (OCA)
MD80OHY,OnurAir (OHY)
MD80OSE,Aeroservice VA (OSE)
MD80PBL,Parablinda VA (PBL)
MD80PVI,PVI Airlines VA (PVI)
MD80PWD,PAWA Dominicana (PWD)
MD80RNX,1Time Airline (RNX)
MD80RPB,Aerorepublica (RPB)
MD80SAS,Scandinavian (SAS)
MD80SUD,Sudan Airways (gray) (SUD)
MD80TAF,Tropic Air VA (TAF)
MD80TRI,Trinacria Air (TRI)
MD80TWA,Trans World Airlines (TWA)
MD80UBA,Myanmar Airways (UBA)
MD80UKM,Ukrainian Mediterranean Airlines (UKM)
MD80ULA,Zuliana de Aviación (ULA)
MD80USW,US Airwings VA (USW)
MD80VAR,Virtualiroma VA (VAR)
MD80VEP,Vesper Linhas Aereas VA (VEP)
MD80VIA,Viasa(VIA)
MD80VNE,Venezolana
MD80WOH,woh|group VA (WOH)
MD80XAS,Alair VA (XAS)
MD87AKE,AKE Airlines VA (AKE)
MD87AUA,Austrian Airlines (AUA)
MD87FLY,FlyMe (FLY)
MD87IBE,Iberia (IBE)
MD87JAL,Japan Airlines (JAL)
MD87JAS,Japan Air System (JAS)
MD87JKK,Spanair (JKK)
MD87MDW,Midway Airlines (MDW)
MD87SAS,Scandinavian Airlines (SAS)
MD87TEJ,Taesa Airlines (TEJ)
MD90BLF,Blue1 (BLF)
MD90BLFSA,Blue1 (Star Alliance) (BLF)
MD90CES,China Eastern (CES)
MD90CSN,China Southern Airlines (CSN)
MD90DAL,Delta Airlines (DAL)
MD90EVA,EVA Air Taiwan (EVA)
MD90IRA,Iran Air (IRA)
MD90JAS,Japan Air System (JAS)
MD90LNI,Lion AIR PK-LIM
MD90SAS,Scandinavian Airlines (SAS)
MD90SVA,Saudi Arabian Airlines (SVA)
MG21@CF,Cuban Air Force (@CF)
MG21@SB,Serbian Air Force
MG21@YA,Yugoslav Air Force
MG21CEF,Czech Air Force (CEF)
MG21HRZ,Croatian Air Force (HRZ)
MG21HRZ2,Croatian Air Force (Kockice) (HRZ)
MG21HRZ3,Croatian Air Force (131) (HRZ)
MG21HUF,Hungarian Air Force (#5531) (HUF)
MG21HUF2,Hungarian Air Force (#5540) (HUF)
MG21HUF3,Hungarian Air Force (#6115) (HUF)
MG23,Algerian Air Force
MG23@LY,Libyan Air Force
MG23HUF,Hungarian Air Force (HUF)
MG25,Russian Federation Air Force (48) (RFF)
MG25@LY,Libyan Air Force
MG25@TM,Turkmenistan Air Force
MG25@UF,Ukraine Air Force
MG25RFF,Russian Federation Air Force (21) (RFF)
MG25RFF2,Russian Federation Air Force (twin seat) (RFF)
MG29,Russian Federation Air Force (RFF)
MG29@CF,Cuban Air Force (twin seat)
MG29@CF2,Cuban Air Force (blue - twin seat)
MG29@CF3,Cuban Air Force (grey - single seat)
MG29@CF4,Cuban Air Force (camouflage - single seat)
MG29@SD,Sudanese Air Force
MG29@SY,Syrian Air Force
MG29@UF,Ukrainian Falcons
MG29@UF2,Ukrainian Falcons (104)
MG29@UF3,Ukrainian Falcons (108)
MG29@UF4,Ukrainian Falcons (109)
MG29@UF5,Ukrainian Air Force
MG29@UF6,Ukrainian Falcons (103)
MG29@YA,Yugoslav Air Force
MG29HUF,Hungarian Air Force (HUF)
MG29HUF2,Hungarian Air Force (HUF)
MG29RFF,Russian Federation Air Force (Channel One) (RFF)
MG29RFF2,Swifts Demo Team (twin seat) (RFF)
MG29RFF3,Swifts Demo Team (RFF)
MG29RMF,Royal Malaysian Air Force (RMF)
MG29RMF2,Royal Malaysian Air Force (twin seat) (RMF)
MG29SQF,Slovak Air Force (Pixel Camouflage) (SQF)
MG29SQF2,Slovak Air Force (Stripe Camouflage) (SQF)
MG29SQF3,Slovak Air Force (Green Camouflage) (SQF)
MG31,Russian Federation Air Force (RFF)
MG31@KZ,Kazakhstan Air Force
MI2,Default Livery
MI24AFS,Senegal Air Force VA (AFS)
MI24CEF,Czech Air Force (CEF)
MI24HUF,Hungarian Air Force (HUF)
MI24SQF,Slovak Air Force (SQF)
MI26,Alrosa Mirny Air Enterprise
MI26CFA,China Flying Dragon Aviation (CFA)
MI26NFT,Nefteyugansk Aviation Division (NFT)
MI26RFF,Russian Federation Air Force (RFF)
MI26SUM,State Unitary Air Enterprise (SUM)
MI26UNO,United Nations (UNO)
MI26UTA,UTair Aviation (UTA)
MI8 @YA,Yugoslav Air Force (366)
MI8 @YA2,Yugoslav Air Force (Red Cross)
MI8 AFS,Senegal Air Force VA (AFS)
MI8 CEF,Czech Air Force (CEF)
MI8 CEFSAR,Czech Air Force (SAR) (CEF)
MI8 GZP,Gazpromavia (GZP)
MI8 HRZ,Croatian Air Force (HRZ)
MI8 HUF,Hungarian Air Force (HUF)
MI8 KGL,Kolavia (KGL)
MI8 LLM,Yamal Airlines (LLM)
MI8 RFF,Russian Federation Air Force (RFF)
MI8 RSD,Russia Special Detachment (RSD)
MI8 SUM,MCHS Rossii (SUM)
MI8 UTA,UTAir (Orange) (UTA)
MI8 UTA2,UTAir (Yellow) (UTA)
MI8 VLK,Vladivostok Air (VLK)
MI8 ZZZ,MCHS of Ukraine (ZZZ)
MIR2FAF,Force Aerienne Francaise (2000N) (FAF)
MIR2FAF2,Force Aerienne Francaise (2000D) (FAF)
MIR2FAF3,Force Aerienne Francaise (2000B) (FAF)
MIR2HAF,Hellenic Air Force (HAF)
MIR2HAF2,Hellenic Air Force (EG) (HAF)
MIRA,Default (Fuerza Aérea Argentina)
P28A,Piper Cherokee 180
P28R,Privately Owned (N1089Q)
P28RZZZ,Privately Owned (G-BYHJ)
